Iteração,Modelo,Acurácia_mean,Acurácia_std,Precisão_mean,Precisão_std,Revocação_mean,Revocação_std,f1_score_mean,f1_score_std,auc_mean,auc_std,tempo_medio_treinamento
1,Decision Tree,0.876876984126984,0.0009988734521166355,0.3599310134310134,0.1703936357205596,0.0014164634791016951,0.0009167093552624257,0.0028191148702327085,0.0018183677312461131,0.6857685752365882,0.0072188542172974355,2.508902382850647
1,XGBoost,0.9431587301587301,0.001874192527902432,0.9289437818968734,0.00606650634038671,0.5824687927076374,0.014536638789454595,0.7158839467894357,0.011134306036913835,0.963305468478574,0.002060552127069548,6.673763155937195
1,KNN,0.8879087301587301,0.0023669595434805553,0.54963152080061,0.009967085576620714,0.4921910806832699,0.008183865152842952,0.5192813902902333,0.0075490895474444805,0.8430990811823309,0.004891716578578763,114.6257107257843
1,Random Forest,0.909797619047619,0.0016511417902131305,0.6967279336724186,0.0106498782971943,0.4724303529138643,0.011025590230426008,0.5629630268598648,0.008694228233878965,0.9297011374909945,0.002072687998513401,241.99285485744477
2,Decision Tree,0.876920634920635,0.0017942652410114944,0.468092719543958,0.16915595153971125,0.001871423040245831,0.000428470172714543,0.003726248463192039,0.0008530229305878502,0.6871118334097652,0.003417466399738648,2.4401580572128294
2,XGBoost,0.9433571428571428,0.0019873148992910583,0.9304380336558342,0.006548975041281155,0.5831239587807622,0.013813301812031468,0.7168372753608521,0.010897435488213945,0.962882988114097,0.0016881939166584125,6.129331874847412
2,KNN,0.8882460317460318,0.0018908886306589034,0.5511119686278811,0.01146660038133446,0.49288807291926356,0.009388920459136849,0.5203375874472078,0.009320585483468582,0.8469763348050767,0.01191605272300481,114.26736934185028
2,Random Forest,0.9094960317460318,0.0014437083856327286,0.694569294017527,0.010907886579953154,0.4713419760500412,0.009164126804614172,0.5615649390686929,0.009539974177304417,0.9295440012085836,0.001288381644671464,236.24104359149933
3,Decision Tree,0.8769603174603174,0.001972920734786281,0.47160906726124113,0.08343129386143154,0.00215905645653623,0.0007932696494728656,0.004296063576090225,0.001570441694546731,0.6852767856135555,0.005391173890780689,2.3997283458709715
3,XGBoost,0.9423809523809524,0.0023554854950433406,0.9298098625486249,0.007004826666668364,0.5748971272562022,0.01951522723200496,0.7103060154350849,0.01534709267944333,0.9623733547954691,0.002475168171501875,6.178824758529663
3,KNN,0.8876825396825397,0.001955604513920242,0.5483908533136451,0.010752600914608168,0.49253239805489646,0.008837370448349728,0.5189044895342418,0.007997753751705214,0.8418728045011186,0.0032750812141401054,114.4367537021637
3,Random Forest,0.9092698412698412,0.001875788236096162,0.6925714991006992,0.016478049735256968,0.47192256754640904,0.010874551911028792,0.5612432228508959,0.010718917088292543,0.929465291227387,0.0018221411268463552,237.24992773532867
4,Decision Tree,0.8768611111111111,0.0020490528079888325,0.36956842177430416,0.12516475353720302,0.0015173715365038964,0.0008076222646038661,0.003020447331834358,0.0016044426915625884,0.6873841175508538,0.004077341060645255,2.3787617444992066
4,XGBoost,0.9431666666666667,0.0020470037219905758,0.9301002094333288,0.005812158134821494,0.5817217292048754,0.013317485248676132,0.7156818580115383,0.010473387213331154,0.9633496759103967,0.0019438098109002147,6.010505890846252
4,KNN,0.8877460317460317,0.0025065924668582597,0.5490964746793259,0.010741541749966405,0.48923088171755647,0.011154131290685649,0.5173635777946238,0.00920773485375101,0.8464616668342302,0.012051312645536631,112.53700478076935
4,Random Forest,0.9092222222222223,0.0020254584008155083,0.6931672671241157,0.008037066925655968,0.4702419798163323,0.007530425911176368,0.560296354564153,0.006052676383462691,0.9295729002463334,0.002316219690000814,236.68899788856507
5,Decision Tree,0.8768928571428573,0.0022010077228898375,0.43061311727488194,0.10678990062244713,0.002358118340776449,0.0008122961939615797,0.00468813145573471,0.001610185193420378,0.6865853991424267,0.003575127456583165,2.3806005001068113
5,XGBoost,0.9434960317460316,0.0020362556908696755,0.9297452184046522,0.0058474118274344546,0.584920913098393,0.011041608962754149,0.7180193895732018,0.008657963720586984,0.9630298046681649,0.0012330969328969623,6.527186298370362
5,KNN,0.8881309523809524,0.001298953248368162,0.5506831387733815,0.006181448797772246,0.4916178527588815,0.004567067120032376,0.5194441926739246,0.0033591612906511076,0.8455627401385503,0.011744365189472809,113.4387746810913
5,Random Forest,0.9095357142857143,0.0010352580640880266,0.6957837809981217,0.008369757455250159,0.46977798560707357,0.008816075140771986,0.5608351737068479,0.008066993407597131,0.9300262204809959,0.0015465793748311166,267.07660806179047
